unique_id,min_date,max_date,lifetime,n_records,n_zero,% zero,n_consecutive_weeks,ok_zeros,ok_2years,ok_sales_last_2months,time_series,zero_range
00610101,2015-12-14,2023-03-06,377.0,378,0.0,0.0,378,1,1,1,1,< 20%
00610101AC,2020-05-04,2023-02-27,147.0,148,12.0,8.1,29,1,1,1,1,< 20%
00610101D,2015-12-21,2023-02-27,375.0,376,14.0,3.7,151,1,1,1,1,< 20%
00610101NM,2020-03-30,2023-02-27,152.0,153,6.0,3.9,55,1,1,1,1,< 20%
00610102,2015-12-21,2023-02-20,374.0,375,15.0,4.0,160,1,1,1,1,< 20%
00611001,2015-12-21,2023-02-27,375.0,376,18.0,4.8,190,1,1,1,1,< 20%
00612001,2015-12-14,2023-02-27,376.0,377,0.0,0.0,377,1,1,1,1,< 20%
00612001D,2015-12-28,2023-02-27,374.0,375,20.0,5.3,157,1,1,1,1,< 20%
00612301,2015-12-14,2023-02-27,376.0,377,1.0,0.3,356,1,1,1,1,< 20%
00612301NM,2019-01-28,2023-02-27,213.0,214,23.0,10.7,36,1,1,1,1,< 20%
00612302,2015-12-28,2023-02-27,374.0,375,52.0,13.9,28,1,1,1,1,< 20%
00618080,2017-01-30,2023-02-27,317.0,318,49.0,15.4,55,1,1,1,1,< 20%
00618201,2016-12-19,2023-02-27,323.0,324,2.0,0.6,321,1,1,1,1,< 20%
00620101,2016-01-04,2023-03-06,374.0,375,33.0,8.8,214,1,1,1,1,< 20%
00661001,2015-12-14,2023-02-27,376.0,377,4.0,1.1,190,1,1,1,1,< 20%
00663901,2016-01-04,2023-02-27,373.0,374,8.0,2.1,104,1,1,1,1,< 20%
00681001,2016-01-04,2023-02-27,373.0,374,7.0,1.9,107,1,1,1,1,< 20%
00712001,2015-12-21,2023-01-30,371.0,372,69.0,18.5,41,1,1,1,1,< 20%
00719101,2015-12-14,2023-02-20,375.0,376,20.0,5.3,225,1,1,1,1,< 20%
01299601,2018-04-09,2023-02-27,255.0,256,35.0,13.7,29,1,1,1,1,< 20%
01716702,2015-12-28,2023-02-20,373.0,374,16.0,4.3,117,1,1,1,1,< 20%
01717002,2015-12-28,2023-02-20,373.0,374,28.0,7.5,186,1,1,1,1,< 20%
01744702,2016-04-18,2023-02-13,356.0,357,69.0,19.3,77,1,1,1,1,< 20%
02351501,2016-01-18,2023-02-27,371.0,372,31.0,8.3,60,1,1,1,1,< 20%
02352001C,2016-01-11,2023-02-27,372.0,373,23.0,6.2,53,1,1,1,1,< 20%
02352001F,2016-01-04,2023-02-27,373.0,374,2.0,0.5,151,1,1,1,1,< 20%
02418201,2016-05-02,2023-02-27,356.0,357,59.0,16.5,33,1,1,1,1,< 20%
030335NM,2019-01-07,2023-02-27,216.0,217,3.0,1.4,118,1,1,1,1,< 20%
03043401,2020-05-04,2023-02-27,147.0,148,11.0,7.4,31,1,1,1,1,< 20%
03044401,2015-12-21,2023-02-20,374.0,375,57.0,15.2,33,1,1,1,1,< 20%
03045501,2015-12-14,2023-03-06,377.0,378,1.0,0.3,225,1,1,1,1,< 20%
03048701,2020-06-15,2023-02-27,141.0,142,26.0,18.3,17,1,1,1,1,< 20%
03411601,2015-12-14,2023-03-06,377.0,378,2.0,0.5,211,1,1,1,1,< 20%
03411601NM,2020-04-20,2023-02-27,149.0,150,6.0,4.0,91,1,1,1,1,< 20%
03412401,2015-12-14,2023-02-27,376.0,377,8.0,2.1,210,1,1,1,1,< 20%
03450101,2015-12-14,2023-02-27,376.0,377,25.0,6.6,55,1,1,1,1,< 20%
03450102,2015-12-14,2023-02-27,376.0,377,2.0,0.5,222,1,1,1,1,< 20%
03453420OR,2020-08-24,2023-02-20,130.0,131,8.0,6.1,55,1,1,1,1,< 20%
03463430LV,2020-09-14,2023-02-27,128.0,129,19.0,14.7,16,1,1,1,1,< 20%
03463701,2016-01-04,2023-03-06,374.0,375,8.0,2.1,152,1,1,1,1,< 20%
03463702,2016-01-04,2023-02-27,373.0,374,7.0,1.9,102,1,1,1,1,< 20%
03463706,2015-11-30,2023-02-27,378.0,379,0.0,0.0,379,1,1,1,1,< 20%
03463707,2015-12-14,2023-02-06,373.0,374,3.0,0.8,362,1,1,1,1,< 20%
03463901,2015-12-21,2023-02-27,375.0,376,16.0,4.3,95,1,1,1,1,< 20%
03944401,2017-05-22,2023-02-27,301.0,302,43.0,14.2,26,1,1,1,1,< 20%
06110301,2015-12-07,2023-02-27,377.0,378,60.0,15.9,41,1,1,1,1,< 20%
06116201,2016-01-04,2023-02-27,373.0,374,60.0,16.0,36,1,1,1,1,< 20%
06117001,2015-12-21,2023-02-27,375.0,376,25.0,6.6,111,1,1,1,1,< 20%
06117201,2016-01-04,2023-01-30,369.0,370,24.0,6.5,68,1,1,1,1,< 20%
06117209,2015-12-21,2023-01-30,371.0,372,16.0,4.3,141,1,1,1,1,< 20%
06118201,2016-12-19,2023-02-13,321.0,322,2.0,0.6,292,1,1,1,1,< 20%
06139301,2016-01-04,2023-02-20,372.0,373,66.0,17.7,31,1,1,1,1,< 20%
06183901NM,2020-06-15,2023-02-27,141.0,142,23.0,16.2,28,1,1,1,1,< 20%
06184902,2016-01-04,2023-02-27,373.0,374,70.0,18.7,32,1,1,1,1,< 20%
06210301,2016-01-04,2023-02-27,373.0,374,3.0,0.8,207,1,1,1,1,< 20%
06210302,2015-12-21,2023-02-27,375.0,376,15.0,4.0,155,1,1,1,1,< 20%
06212001,2015-12-21,2023-02-27,375.0,376,30.0,8.0,60,1,1,1,1,< 20%
06212001NM,2020-05-11,2023-02-27,146.0,147,12.0,8.2,37,1,1,1,1,< 20%
06217402,2016-02-08,2023-01-23,363.0,364,43.0,11.8,36,1,1,1,1,< 20%
06217702,2016-01-04,2023-02-27,373.0,374,67.0,17.9,35,1,1,1,1,< 20%
06218002,2016-01-04,2023-02-27,373.0,374,41.0,11.0,46,1,1,1,1,< 20%
06218080,2017-02-27,2023-02-27,313.0,314,43.0,13.7,57,1,1,1,1,< 20%
06220301,2016-01-04,2023-02-27,373.0,374,15.0,4.0,99,1,1,1,1,< 20%
06220601,2016-01-11,2023-02-27,372.0,373,33.0,8.8,147,1,1,1,1,< 20%
06243201,2016-01-25,2023-02-06,367.0,368,62.0,16.8,34,1,1,1,1,< 20%
06248702,2020-04-13,2023-02-27,150.0,151,27.0,17.9,15,1,1,1,1,< 20%
06254201,2016-02-01,2023-02-20,368.0,369,33.0,8.9,36,1,1,1,1,< 20%
06254201OM,2020-08-10,2023-03-06,134.0,135,21.0,15.6,14,1,1,1,1,< 20%
06298001,2015-12-21,2023-02-27,375.0,376,5.0,1.3,209,1,1,1,1,< 20%
06910302,2016-01-04,2023-01-23,368.0,369,54.0,14.6,66,1,1,1,1,< 20%
06916702,2015-12-28,2023-02-27,374.0,375,33.0,8.8,126,1,1,1,1,< 20%
06917002,2016-01-11,2023-02-20,371.0,372,46.0,12.4,114,1,1,1,1,< 20%
06944001,2016-03-28,2023-02-27,361.0,362,36.0,9.9,60,1,1,1,1,< 20%
06944401,2016-01-04,2023-02-27,373.0,374,15.0,4.0,84,1,1,1,1,< 20%
0701770212,2015-12-21,2023-02-06,372.0,373,45.0,12.1,36,1,1,1,1,< 20%
07044802,2015-12-14,2023-02-27,376.0,377,24.0,6.4,47,1,1,1,1,< 20%
07099501,2016-03-28,2023-02-27,361.0,362,46.0,12.7,37,1,1,1,1,< 20%
081192,2017-12-04,2023-02-27,273.0,274,3.0,1.1,122,1,1,1,1,< 20%
08119301,2015-12-21,2023-02-27,375.0,376,10.0,2.7,223,1,1,1,1,< 20%
08119701,2015-12-21,2023-02-27,375.0,376,47.0,12.5,123,1,1,1,1,< 20%
08119702,2016-01-04,2023-02-20,372.0,373,11.0,2.9,103,1,1,1,1,< 20%
09018602,2015-12-28,2023-03-06,375.0,376,36.0,9.6,53,1,1,1,1,< 20%
09096020,2018-01-29,2023-02-06,262.0,263,26.0,9.9,38,1,1,1,1,< 20%
09096022,2018-01-08,2023-02-27,268.0,269,14.0,5.2,83,1,1,1,1,< 20%
09286552,2016-01-04,2023-02-27,373.0,374,42.0,11.2,84,1,1,1,1,< 20%
09286563,2015-12-21,2023-03-06,376.0,377,74.0,19.6,87,1,1,1,1,< 20%
106103,2015-12-21,2023-02-27,375.0,376,3.0,0.8,201,1,1,1,1,< 20%
106177,2016-01-04,2023-02-20,372.0,373,47.0,12.6,71,1,1,1,1,< 20%
106180,2015-12-07,2023-02-27,377.0,378,16.0,4.2,223,1,1,1,1,< 20%
106437,2015-12-21,2023-02-27,375.0,376,44.0,11.7,48,1,1,1,1,< 20%
106486,2015-12-28,2023-02-27,374.0,375,69.0,18.4,26,1,1,1,1,< 20%
106603,2015-12-21,2023-02-27,375.0,376,44.0,11.7,69,1,1,1,1,< 20%
106980,2015-12-28,2023-02-27,374.0,375,5.0,1.3,222,1,1,1,1,< 20%
107167,2015-12-28,2023-02-13,372.0,373,53.0,14.2,40,1,1,1,1,< 20%
10717002,2015-12-07,2023-02-27,377.0,378,4.0,1.1,226,1,1,1,1,< 20%
1071749,2015-12-14,2023-02-27,376.0,377,30.0,8.0,143,1,1,1,1,< 20%
107395,2016-01-04,2023-01-23,368.0,369,7.0,1.9,207,1,1,1,1,< 20%
107839,2016-01-04,2023-02-27,373.0,374,4.0,1.1,223,1,1,1,1,< 20%
107922,2016-01-18,2023-02-27,371.0,372,35.0,9.4,68,1,1,1,1,< 20%
112441,2016-05-16,2023-02-27,354.0,355,45.0,12.7,24,1,1,1,1,< 20%
114444,2015-12-28,2023-02-27,374.0,375,35.0,9.3,59,1,1,1,1,< 20%
117103,2016-02-29,2023-02-20,364.0,365,63.0,17.3,46,1,1,1,1,< 20%
117175,2015-12-28,2023-01-16,368.0,369,58.0,15.7,69,1,1,1,1,< 20%
117333,2016-01-11,2023-02-27,372.0,373,54.0,14.5,59,1,1,1,1,< 20%
117440,2016-06-20,2023-02-27,349.0,350,12.0,3.4,83,1,1,1,1,< 20%
123100C,2015-12-21,2023-02-27,375.0,376,3.0,0.8,210,1,1,1,1,< 20%
123100F,2015-12-21,2023-02-27,375.0,376,0.0,0.0,376,1,1,1,1,< 20%
123103,2015-12-28,2023-02-27,374.0,375,67.0,17.9,32,1,1,1,1,< 20%
123125C,2015-12-21,2023-02-27,375.0,376,4.0,1.1,224,1,1,1,1,< 20%
123125F,2015-12-21,2023-02-27,375.0,376,4.0,1.1,190,1,1,1,1,< 20%
123155F,2016-03-14,2023-02-27,363.0,364,60.0,16.5,41,1,1,1,1,< 20%
123210,2016-04-04,2023-02-27,360.0,361,45.0,12.5,28,1,1,1,1,< 20%
123214,2015-12-07,2023-02-27,377.0,378,12.0,3.2,92,1,1,1,1,< 20%
123215,2015-12-14,2023-02-27,376.0,377,1.0,0.3,225,1,1,1,1,< 20%
123306,2015-12-21,2023-02-27,375.0,376,2.0,0.5,222,1,1,1,1,< 20%
123310,2016-01-04,2023-02-27,373.0,374,39.0,10.4,47,1,1,1,1,< 20%
123314,2015-12-28,2023-02-27,374.0,375,5.0,1.3,150,1,1,1,1,< 20%
123315,2015-12-21,2023-02-27,375.0,376,2.0,0.5,224,1,1,1,1,< 20%
123330,2016-02-08,2023-02-27,368.0,369,43.0,11.7,51,1,1,1,1,< 20%
123416,2016-05-16,2023-02-27,354.0,355,60.0,16.9,21,1,1,1,1,< 20%
123500F,2015-12-28,2023-02-27,374.0,375,5.0,1.3,99,1,1,1,1,< 20%
123505,2015-12-14,2023-02-27,376.0,377,3.0,0.8,224,1,1,1,1,< 20%
123506,2015-12-21,2023-02-27,375.0,376,1.0,0.3,224,1,1,1,1,< 20%
123515,2016-02-22,2023-02-27,366.0,367,1.0,0.3,216,1,1,1,1,< 20%
123520C,2015-12-21,2023-02-27,375.0,376,7.0,1.9,114,1,1,1,1,< 20%
123520F,2015-11-30,2023-02-27,378.0,379,1.0,0.3,227,1,1,1,1,< 20%
130335,2015-12-07,2023-02-27,377.0,378,1.0,0.3,226,1,1,1,1,< 20%
130336,2016-01-04,2023-02-20,372.0,373,54.0,14.5,29,1,1,1,1,< 20%
130337,2016-01-04,2023-02-27,373.0,374,20.0,5.3,224,1,1,1,1,< 20%
130484,2015-12-14,2023-02-27,376.0,377,62.0,16.4,46,1,1,1,1,< 20%
130493,2016-01-18,2023-02-20,370.0,371,33.0,8.9,186,1,1,1,1,< 20%
130495,2015-12-21,2023-03-06,376.0,377,21.0,5.6,66,1,1,1,1,< 20%
130496,2015-12-28,2023-02-27,374.0,375,61.0,16.3,36,1,1,1,1,< 20%
1306100310,2016-09-19,2023-02-20,335.0,336,57.0,17.0,22,1,1,1,1,< 20%
134122,2016-01-04,2023-02-27,373.0,374,8.0,2.1,115,1,1,1,1,< 20%
134123,2015-12-21,2023-02-27,375.0,376,0.0,0.0,376,1,1,1,1,< 20%
134123BM,2020-06-29,2023-03-06,140.0,141,8.0,5.7,90,1,1,1,1,< 20%
134123NM,2019-01-07,2023-02-27,216.0,217,3.0,1.4,117,1,1,1,1,< 20%
13413726,2015-12-21,2023-02-27,375.0,376,9.0,2.4,157,1,1,1,1,< 20%
13413730,2016-02-29,2023-02-27,365.0,366,10.0,2.7,182,1,1,1,1,< 20%
13413730NM,2020-02-03,2023-02-27,160.0,161,23.0,14.3,35,1,1,1,1,< 20%
13413826,2015-12-21,2023-02-27,375.0,376,15.0,4.0,115,1,1,1,1,< 20%
13413830,2016-01-11,2023-02-27,372.0,373,32.0,8.6,102,1,1,1,1,< 20%
13413830NM,2020-09-28,2023-02-27,126.0,127,24.0,18.9,14,1,1,1,1,< 20%
13413940,2015-12-28,2023-02-27,374.0,375,7.0,1.9,199,1,1,1,1,< 20%
134184,2015-11-23,2023-02-27,379.0,380,35.0,9.2,35,1,1,1,1,< 20%
134232,2015-12-28,2023-02-27,374.0,375,34.0,9.1,133,1,1,1,1,< 20%
134233,2016-01-04,2023-02-27,373.0,374,68.0,18.2,48,1,1,1,1,< 20%
13424010,2016-02-01,2023-02-20,368.0,369,44.0,11.9,55,1,1,1,1,< 20%
134302,2016-02-08,2023-03-06,369.0,370,67.0,18.1,22,1,1,1,1,< 20%
134315001,2020-11-16,2023-02-27,119.0,120,0.0,0.0,120,1,1,1,1,< 20%
134432,2016-01-11,2023-02-27,372.0,373,48.0,12.9,50,1,1,1,1,< 20%
134433,2016-01-04,2023-01-30,369.0,370,59.0,15.9,38,1,1,1,1,< 20%
134516,2015-12-28,2023-02-27,374.0,375,25.0,6.7,66,1,1,1,1,< 20%
13452102,2015-12-14,2023-02-27,376.0,377,7.0,1.9,190,1,1,1,1,< 20%
13452102NM,2020-05-04,2023-02-27,147.0,148,27.0,18.2,30,1,1,1,1,< 20%
13452202,2017-01-02,2023-02-20,320.0,321,33.0,10.3,58,1,1,1,1,< 20%
13453410,2016-03-28,2023-02-27,361.0,362,59.0,16.3,20,1,1,1,1,< 20%
13453420,2015-12-28,2023-02-27,374.0,375,7.0,1.9,134,1,1,1,1,< 20%
13453430,2015-12-28,2023-02-27,374.0,375,8.0,2.1,73,1,1,1,1,< 20%
13453440,2015-12-21,2023-02-20,374.0,375,42.0,11.2,111,1,1,1,1,< 20%
13454010,2015-12-14,2023-03-06,377.0,378,0.0,0.0,378,1,1,1,1,< 20%
13454030,2016-01-11,2023-02-27,372.0,373,24.0,6.4,94,1,1,1,1,< 20%
13454060,2015-12-28,2023-02-27,374.0,375,4.0,1.1,192,1,1,1,1,< 20%
13454070,2016-03-14,2023-02-27,363.0,364,65.0,17.9,21,1,1,1,1,< 20%
13454110,2016-01-04,2023-02-27,373.0,374,29.0,7.8,57,1,1,1,1,< 20%
13454160,2015-12-28,2023-02-27,374.0,375,4.0,1.1,241,1,1,1,1,< 20%
13454190,2016-01-04,2023-02-27,373.0,374,51.0,13.6,40,1,1,1,1,< 20%
134611,2015-12-21,2023-02-20,374.0,375,61.0,16.3,149,1,1,1,1,< 20%
134612,2015-12-14,2023-02-27,376.0,377,1.0,0.3,367,1,1,1,1,< 20%
134617,2016-01-04,2023-02-27,373.0,374,4.0,1.1,222,1,1,1,1,< 20%
134618,2016-01-11,2023-02-27,372.0,373,6.0,1.6,133,1,1,1,1,< 20%
134619,2015-12-28,2023-02-27,374.0,375,36.0,9.6,35,1,1,1,1,< 20%
13462101,2015-12-21,2023-02-27,375.0,376,14.0,3.7,116,1,1,1,1,< 20%
13462102,2015-12-21,2023-02-27,375.0,376,36.0,9.6,80,1,1,1,1,< 20%
13462104,2016-12-19,2023-02-27,323.0,324,21.0,6.5,60,1,1,1,1,< 20%
134627,2015-12-14,2023-02-27,376.0,377,3.0,0.8,151,1,1,1,1,< 20%
134628,2016-01-11,2023-02-27,372.0,373,57.0,15.3,55,1,1,1,1,< 20%
134629,2016-01-25,2023-03-06,371.0,372,71.0,19.1,48,1,1,1,1,< 20%
13463410,2015-12-14,2023-02-27,376.0,377,2.0,0.5,224,1,1,1,1,< 20%
13463420,2016-01-04,2023-02-20,372.0,373,50.0,13.4,130,1,1,1,1,< 20%
13463430,2015-12-21,2023-03-06,376.0,377,20.0,5.3,114,1,1,1,1,< 20%
13463460,2015-12-28,2023-02-27,374.0,375,3.0,0.8,208,1,1,1,1,< 20%
134714,2016-01-04,2023-02-27,373.0,374,21.0,5.6,219,1,1,1,1,< 20%
13474010,2016-09-05,2023-02-27,338.0,339,67.0,19.8,39,1,1,1,1,< 20%
13474110,2016-01-04,2023-02-27,373.0,374,19.0,5.1,62,1,1,1,1,< 20%
13474210,2016-01-04,2023-02-20,372.0,373,57.0,15.3,31,1,1,1,1,< 20%
13474310,2016-01-11,2023-02-27,372.0,373,36.0,9.7,44,1,1,1,1,< 20%
134748,2015-12-07,2023-02-27,377.0,378,2.0,0.5,166,1,1,1,1,< 20%
134757,2015-12-21,2023-02-27,375.0,376,50.0,13.3,66,1,1,1,1,< 20%
134835,2015-12-21,2023-02-27,375.0,376,15.0,4.0,211,1,1,1,1,< 20%
134944,2016-01-04,2023-02-27,373.0,374,39.0,10.4,32,1,1,1,1,< 20%
139102,2015-12-21,2023-01-23,370.0,371,3.0,0.8,257,1,1,1,1,< 20%
139103,2015-12-21,2023-02-13,373.0,374,46.0,12.3,81,1,1,1,1,< 20%
139120,2015-12-21,2023-02-20,374.0,375,38.0,10.1,217,1,1,1,1,< 20%
139441,2015-12-21,2023-02-27,375.0,376,11.0,2.9,154,1,1,1,1,< 20%
143835,2015-12-28,2023-03-06,375.0,376,4.0,1.1,173,1,1,1,1,< 20%
143836,2016-01-04,2023-02-27,373.0,374,47.0,12.6,54,1,1,1,1,< 20%
16110342NM,2020-05-25,2023-02-27,144.0,145,26.0,17.9,11,1,1,1,1,< 20%
16110362,2017-01-30,2023-02-20,316.0,317,58.0,18.3,22,1,1,1,1,< 20%
16110372,2015-12-14,2023-03-06,377.0,378,35.0,9.3,70,1,1,1,1,< 20%
16118740,2016-01-04,2023-02-13,371.0,372,37.0,9.9,76,1,1,1,1,< 20%
161475,2015-12-07,2023-02-27,377.0,378,3.0,0.8,192,1,1,1,1,< 20%
161835,2015-12-21,2023-02-27,375.0,376,1.0,0.3,364,1,1,1,1,< 20%
161838,2015-12-21,2023-02-27,375.0,376,6.0,1.6,157,1,1,1,1,< 20%
161839,2016-01-04,2023-02-27,373.0,374,2.0,0.5,166,1,1,1,1,< 20%
161840,2015-12-14,2023-03-06,377.0,378,0.0,0.0,378,1,1,1,1,< 20%
162113,2016-01-04,2023-01-16,367.0,368,35.0,9.5,36,1,1,1,1,< 20%
16235590,2016-02-22,2023-02-27,366.0,367,34.0,9.3,32,1,1,1,1,< 20%
162435,2016-02-29,2023-02-27,365.0,366,28.0,7.7,98,1,1,1,1,< 20%
162436,2015-12-21,2023-02-27,375.0,376,2.0,0.5,201,1,1,1,1,< 20%
162437,2015-12-14,2023-02-27,376.0,377,0.0,0.0,377,1,1,1,1,< 20%
162438,2015-12-28,2023-02-27,374.0,375,3.0,0.8,156,1,1,1,1,< 20%
162440,2015-12-14,2023-02-27,376.0,377,16.0,4.2,106,1,1,1,1,< 20%
162441,2015-12-21,2023-02-27,375.0,376,20.0,5.3,125,1,1,1,1,< 20%
162442,2015-12-14,2023-02-27,376.0,377,6.0,1.6,210,1,1,1,1,< 20%
162453,2016-01-04,2023-02-27,373.0,374,32.0,8.6,39,1,1,1,1,< 20%
162456,2015-12-14,2023-02-27,376.0,377,0.0,0.0,377,1,1,1,1,< 20%
162840,2016-01-04,2023-02-27,373.0,374,9.0,2.4,188,1,1,1,1,< 20%
169103,2015-12-28,2023-02-27,374.0,375,6.0,1.6,172,1,1,1,1,< 20%
169120,2015-12-28,2023-02-06,371.0,372,19.0,5.1,222,1,1,1,1,< 20%
169440,2016-01-04,2023-02-27,373.0,374,2.0,0.5,177,1,1,1,1,< 20%
17010302,2015-12-14,2023-02-20,375.0,376,0.0,0.0,376,1,1,1,1,< 20%
17012002,2015-12-21,2023-02-27,375.0,376,6.0,1.6,157,1,1,1,1,< 20%
17016702,2015-12-21,2023-02-27,375.0,376,3.0,0.8,324,1,1,1,1,< 20%
17017002,2015-12-21,2023-01-23,370.0,371,1.0,0.3,367,1,1,1,1,< 20%
17021802,2015-12-21,2023-03-06,376.0,377,2.0,0.5,223,1,1,1,1,< 20%
17031802,2015-12-28,2023-03-06,375.0,376,5.0,1.3,223,1,1,1,1,< 20%
17032002,2015-12-21,2023-02-27,375.0,376,1.0,0.3,223,1,1,1,1,< 20%
17033202,2016-01-04,2023-02-27,373.0,374,4.0,1.1,219,1,1,1,1,< 20%
17033302,2015-12-21,2023-02-27,375.0,376,3.0,0.8,222,1,1,1,1,< 20%
17041802,2016-01-04,2023-02-20,372.0,373,71.0,19.0,23,1,1,1,1,< 20%
17044002,2015-12-21,2023-02-20,374.0,375,6.0,1.6,224,1,1,1,1,< 20%
17044102,2015-12-14,2023-02-27,376.0,377,2.0,0.5,225,1,1,1,1,< 20%
17044702,2016-01-04,2023-02-27,373.0,374,25.0,6.7,117,1,1,1,1,< 20%
172103,2015-12-28,2023-01-30,370.0,371,16.0,4.3,137,1,1,1,1,< 20%
172218,2015-12-28,2023-02-27,374.0,375,14.0,3.7,94,1,1,1,1,< 20%
172317,2016-01-04,2023-02-27,373.0,374,67.0,17.9,27,1,1,1,1,< 20%
172318,2015-12-21,2023-02-27,375.0,376,28.0,7.4,39,1,1,1,1,< 20%
17231811,2015-12-28,2023-02-27,374.0,375,12.0,3.2,87,1,1,1,1,< 20%
172333,2016-01-04,2023-02-27,373.0,374,35.0,9.4,62,1,1,1,1,< 20%
17233311,2015-12-28,2023-02-27,374.0,375,4.0,1.1,223,1,1,1,1,< 20%
172367,2016-01-04,2023-01-30,369.0,370,59.0,15.9,52,1,1,1,1,< 20%
172370,2015-12-14,2023-01-30,372.0,373,49.0,13.1,58,1,1,1,1,< 20%
172418,2015-12-28,2023-02-27,374.0,375,2.0,0.5,208,1,1,1,1,< 20%
172420,2015-12-21,2023-02-27,375.0,376,2.0,0.5,223,1,1,1,1,< 20%
172440,2015-12-21,2023-02-27,375.0,376,7.0,1.9,209,1,1,1,1,< 20%
172450,2015-12-21,2023-02-27,375.0,376,2.0,0.5,223,1,1,1,1,< 20%
17410306,2015-12-07,2023-02-27,377.0,378,2.0,0.5,225,1,1,1,1,< 20%
17412006,2015-12-14,2023-02-27,376.0,377,4.0,1.1,149,1,1,1,1,< 20%
17416706,2015-12-14,2023-02-27,376.0,377,1.0,0.3,225,1,1,1,1,< 20%
17417006,2015-12-07,2023-02-27,377.0,378,1.0,0.3,226,1,1,1,1,< 20%
17433306,2015-12-21,2023-02-20,374.0,375,6.0,1.6,209,1,1,1,1,< 20%
17444106,2015-12-21,2023-02-27,375.0,376,1.0,0.3,224,1,1,1,1,< 20%
181103,2015-12-21,2023-03-06,376.0,377,0.0,0.0,377,1,1,1,1,< 20%
181113,2015-12-14,2023-02-27,376.0,377,14.0,3.7,89,1,1,1,1,< 20%
181120,2015-12-21,2023-02-27,375.0,376,3.0,0.8,209,1,1,1,1,< 20%
1811649,2015-12-28,2023-01-16,368.0,369,47.0,12.7,53,1,1,1,1,< 20%
1811749,2016-02-01,2023-01-30,365.0,366,17.0,4.6,75,1,1,1,1,< 20%
181191,2015-12-21,2023-02-27,375.0,376,11.0,2.9,91,1,1,1,1,< 20%
181203,2015-12-21,2023-02-27,375.0,376,4.0,1.1,209,1,1,1,1,< 20%
181207,2015-12-14,2023-01-23,371.0,372,74.0,19.9,32,1,1,1,1,< 20%
181217,2016-01-04,2023-02-27,373.0,374,41.0,11.0,69,1,1,1,1,< 20%
181222,2016-01-04,2023-02-27,373.0,374,57.0,15.2,32,1,1,1,1,< 20%
181223,2015-12-14,2023-02-27,376.0,377,0.0,0.0,377,1,1,1,1,< 20%
181385,2015-12-21,2023-02-27,375.0,376,13.0,3.5,139,1,1,1,1,< 20%
18138503,2020-05-25,2023-01-30,140.0,141,8.0,5.7,67,1,1,1,1,< 20%
181386,2016-08-08,2023-02-13,340.0,341,57.0,16.7,66,1,1,1,1,< 20%
181436,2015-12-21,2023-02-27,375.0,376,1.0,0.3,224,1,1,1,1,< 20%
181437,2015-12-14,2023-02-27,376.0,377,1.0,0.3,376,1,1,1,1,< 20%
181438,2015-12-21,2023-02-27,375.0,376,0.0,0.0,376,1,1,1,1,< 20%
181468,2015-12-21,2023-02-27,375.0,376,3.0,0.8,192,1,1,1,1,< 20%
