unique_id,min_date,max_date,lifetime,n_records,n_zero,% zero,n_consecutive_weeks,ok_zeros,ok_2years,ok_sales_last_2months,time_series
001010,2016-12-05,2023-02-27,325.0,326,102.0,31.3,14,0,1,1,0
002010,2017-01-02,2023-02-13,319.0,320,148.0,46.2,13,0,1,1,0
00610101,2015-12-14,2023-03-06,377.0,378,0.0,0.0,378,1,1,1,1
00610101AC,2020-05-04,2023-02-27,147.0,148,12.0,8.1,29,1,1,1,1
00610101ACD,2016-03-14,2022-01-31,307.0,308,150.0,48.7,18,0,1,0,0
00610101BL,2021-03-08,2023-02-27,103.0,104,41.0,39.4,9,0,0,1,0
00610101BLD,2016-09-26,2020-01-27,174.0,175,83.0,47.4,9,0,1,0,0
00610101D,2015-12-21,2023-02-27,375.0,376,14.0,3.7,151,1,1,1,1
00610101NE,2020-06-29,2023-02-27,139.0,140,38.0,27.1,17,0,1,1,0
00610101NED,2016-01-04,2020-01-06,209.0,210,47.0,22.4,29,0,1,0,0
00610101NM,2020-03-30,2023-02-27,152.0,153,6.0,3.9,55,1,1,1,1
00610101NMD,2019-09-09,2020-01-06,17.0,18,1.0,5.6,13,1,0,0,0
00610102,2015-12-21,2023-02-20,374.0,375,15.0,4.0,160,1,1,1,1
00611001,2015-12-21,2023-02-27,375.0,376,18.0,4.8,190,1,1,1,1
00611001D,2016-01-04,2023-02-20,372.0,373,159.0,42.6,47,0,1,1,0
00611002,2015-12-14,2023-02-20,375.0,376,79.0,21.0,50,0,1,1,0
00611002D,2016-01-18,2022-06-27,336.0,337,215.0,63.8,9,0,1,0,0
00612001,2015-12-14,2023-02-27,376.0,377,0.0,0.0,377,1,1,1,1
00612001D,2015-12-28,2023-02-27,374.0,375,20.0,5.3,157,1,1,1,1
00612301,2015-12-14,2023-02-27,376.0,377,1.0,0.3,356,1,1,1,1
00612301DUM,2017-01-09,2022-08-01,290.0,291,245.0,84.2,17,0,1,0,0
00612301NM,2019-01-28,2023-02-27,213.0,214,23.0,10.7,36,1,1,1,1
00612302,2015-12-28,2023-02-27,374.0,375,52.0,13.9,28,1,1,1,1
00616103,2015-12-28,2023-02-27,374.0,375,122.0,32.5,69,0,1,1,0
00616105,2016-01-04,2023-02-27,373.0,374,118.0,31.6,34,0,1,1,0
00618003,2016-01-04,2022-02-28,321.0,322,58.0,18.0,83,1,1,0,0
00618080,2017-01-30,2023-02-27,317.0,318,49.0,15.4,55,1,1,1,1
00618201,2016-12-19,2023-02-27,323.0,324,2.0,0.6,321,1,1,1,1
00618201NM,2022-03-28,2023-02-27,48.0,49,13.0,26.5,11,0,0,1,0
00618301,2017-01-02,2023-02-27,321.0,322,65.0,20.2,60,0,1,1,0
