,id,model,rmse,mae,wape_m
0,00610101,mean,41,37.3,35.4
1,00610101,random_walk,43,36.1,35.6
2,00610101,window_average,35,29.2,18.5
3,00610101,auto_arima,38,33.0,27.2
4,00610101,prophet,44,39.7,37.8
5,00610101AC,mean,3,2.0,28.5
6,00610101AC,random_walk,5,4.1,98.4
7,00610101AC,window_average,3,2.7,48.8
8,00610101AC,auto_arima,3,2.1,27.9
9,00610101AC,prophet,3,2.1,41.1
10,00610101D,mean,6,4.9,66.8
11,00610101D,random_walk,7,5.3,59.8
12,00610101D,window_average,6,5.0,59.2
13,00610101D,auto_arima,5,4.7,57.6
14,00610101D,prophet,6,4.9,66.4
15,00610101NM,mean,5,4.1,29.7
16,00610101NM,random_walk,5,4.6,32.9
17,00610101NM,window_average,5,4.1,29.9
18,00610101NM,auto_arima,5,4.1,29.7
19,00610101NM,prophet,5,4.1,30.1
20,00610102,mean,5,3.7,47.2
21,00610102,random_walk,6,4.6,77.7
22,00610102,window_average,5,3.6,40.6
23,00610102,auto_arima,4,3.5,35.1
24,00610102,prophet,5,3.7,46.5
25,00611001,mean,4,4.0,99.1
26,00611001,random_walk,4,2.9,44.1
27,00611001,window_average,4,3.1,42.6
28,00611001,auto_arima,3,2.7,31.4
29,00611001,prophet,4,4.1,102.1
30,00612001,mean,9,8.4,64.5
31,00612001,random_walk,11,9.4,67.9
32,00612001,window_average,8,6.4,34.5
33,00612001,auto_arima,7,5.9,26.1
34,00612001,prophet,10,8.4,67.7
35,00612001D,mean,4,3.5,162.4
36,00612001D,random_walk,5,4.0,92.8
37,00612001D,window_average,4,3.3,96.8
38,00612001D,auto_arima,4,3.4,130.2
39,00612001D,prophet,4,3.3,86.9
40,00612301,mean,12,10.5,75.5
41,00612301,random_walk,10,8.4,34.0
42,00612301,window_average,10,7.5,25.7
43,00612301,auto_arima,10,7.9,31.6
44,00612301,prophet,13,10.7,70.7
45,00612301NM,mean,3,2.5,40.1
46,00612301NM,random_walk,5,4.1,62.9
47,00612301NM,window_average,4,3.0,76.3
48,00612301NM,auto_arima,3,2.7,57.9
49,00612301NM,prophet,3,2.5,40.3
50,00612302,mean,2,1.9,117.2
51,00612302,random_walk,3,2.2,63.9
52,00612302,window_average,2,1.6,87.8
53,00612302,auto_arima,2,1.7,87.1
54,00612302,prophet,2,2.0,124.2
55,00618080,mean,3,2.9,457.8
56,00618080,random_walk,3,2.2,115.6
57,00618080,window_average,2,1.7,79.9
58,00618080,auto_arima,3,1.9,162.3
59,00618080,prophet,3,2.9,450.1
60,00618201,mean,11,10.1,89.2
61,00618201,random_walk,10,8.6,69.9
62,00618201,window_average,8,7.0,40.7
63,00618201,auto_arima,7,6.0,31.9
64,00618201,prophet,11,10.6,94.5
65,00620101,mean,3,2.6,177.1
66,00620101,random_walk,2,2.0,71.2
67,00620101,window_average,2,1.7,49.8
68,00620101,auto_arima,2,1.6,51.1
69,00620101,prophet,3,2.7,183.6
70,00661001,mean,6,5.1,38.1
71,00661001,random_walk,6,5.1,45.0
72,00661001,window_average,5,4.2,27.1
73,00661001,auto_arima,6,4.9,40.5
74,00661001,prophet,7,5.8,53.2
75,00663901,mean,8,7.1,33.0
76,00663901,random_walk,11,8.5,59.7
77,00663901,window_average,9,7.5,37.6
78,00663901,auto_arima,8,7.1,33.0
79,00663901,prophet,8,7.2,33.1
80,00681001,mean,6,4.6,38.7
81,00681001,random_walk,9,7.6,84.3
82,00681001,window_average,6,4.3,31.6
83,00681001,auto_arima,6,4.4,34.6
84,00681001,prophet,6,4.6,39.1
85,00712001,mean,1,1.1,64.9
86,00712001,random_walk,1,1.0,60.4
87,00712001,window_average,1,1.0,73.1
88,00712001,auto_arima,1,1.0,53.0
89,00712001,prophet,1,1.1,63.3
90,00719101,mean,4,3.7,125.6
91,00719101,random_walk,4,3.1,93.2
92,00719101,window_average,3,2.4,52.8
93,00719101,auto_arima,3,2.3,30.8
94,00719101,prophet,4,3.8,129.0
95,01299601,mean,6,5.5,68.5
96,01299601,random_walk,5,4.1,84.1
97,01299601,window_average,6,5.4,83.4
98,01299601,auto_arima,6,5.3,70.4
99,01299601,prophet,5,3.6,39.5
100,01716702,mean,15,11.7,44.2
101,01716702,random_walk,17,13.1,71.0
102,01716702,window_average,16,11.3,61.2
103,01716702,auto_arima,16,11.4,58.7
104,01716702,prophet,15,11.7,39.4
105,01717002,mean,7,5.2,96.9
106,01717002,random_walk,7,4.7,67.4
107,01717002,window_average,7,4.5,88.4
108,01717002,auto_arima,6,4.2,47.5
109,01717002,prophet,7,5.2,97.6
110,01744702,mean,3,2.7,481.2
111,01744702,random_walk,2,1.2,91.0
112,01744702,window_average,2,1.3,112.4
113,01744702,auto_arima,2,1.3,106.3
114,01744702,prophet,3,2.8,501.0
115,02351501,mean,7,5.9,28.4
116,02351501,random_walk,10,7.9,52.0
117,02351501,window_average,8,6.8,28.8
118,02351501,auto_arima,7,5.9,27.2
119,02351501,prophet,7,5.8,26.2
120,02352001C,mean,6,5.3,20.2
121,02352001C,random_walk,9,7.6,50.1
122,02352001C,window_average,7,5.5,26.0
123,02352001C,auto_arima,6,5.3,20.2
124,02352001C,prophet,6,5.3,19.3
125,02352001F,mean,11,8.9,23.5
126,02352001F,random_walk,14,11.4,40.6
127,02352001F,window_average,13,11.1,42.9
128,02352001F,auto_arima,12,9.8,26.2
129,02352001F,prophet,11,9.0,26.7
130,02418201,mean,3,2.5,253.7
131,02418201,random_walk,3,2.0,183.6
132,02418201,window_average,3,2.1,155.7
133,02418201,auto_arima,3,2.3,208.0
134,02418201,prophet,3,2.4,270.5
135,030335NM,mean,5,4.8,35.3
136,030335NM,random_walk,6,6.0,58.7
137,030335NM,window_average,5,4.9,38.5
138,030335NM,auto_arima,5,4.7,34.2
139,030335NM,prophet,5,4.8,35.4
140,03043401,mean,6,4.6,45.6
141,03043401,random_walk,9,7.8,85.8
142,03043401,window_average,7,5.4,69.2
143,03043401,auto_arima,6,4.6,45.6
144,03043401,prophet,6,4.6,43.5
145,03044401,mean,2,1.8,40.5
146,03044401,random_walk,3,2.3,89.6
147,03044401,window_average,2,1.8,57.7
148,03044401,auto_arima,2,1.8,41.0
149,03044401,prophet,2,1.8,40.6
150,03045501,mean,9,8.0,26.9
151,03045501,random_walk,10,9.2,30.8
152,03045501,window_average,9,8.1,30.9
153,03045501,auto_arima,9,8.1,27.3
154,03045501,prophet,9,8.0,27.1
155,03048701,mean,2,2.0,25.1
156,03048701,random_walk,3,2.5,88.3
157,03048701,window_average,2,1.8,39.3
158,03048701,auto_arima,2,2.0,25.1
159,03048701,prophet,2,1.9,23.8
160,03411601,mean,9,7.2,35.1
