,id,model,rmse,mae,wape_m
0,00610101,AutoARIMA,44,33.9,35.5
1,00610101,AutoETS,37,32.4,22.0
2,00610101,DynamicOptimizedTheta,37,32.3,21.6
3,00610101,AutoTheta,37,32.2,21.7
4,00610101,ADIDA,35,30.8,18.1
5,00610101,CrostonClassic,36,30.0,19.7
6,00610101,IMAPA,35,30.8,18.1
7,00610101,WindowAverage,35,29.8,17.9
8,00610101AC,AutoARIMA,4,3.1,63.5
9,00610101AC,AutoETS,3,2.1,28.5
10,00610101AC,DynamicOptimizedTheta,3,2.1,25.3
11,00610101AC,AutoTheta,3,2.1,25.5
12,00610101AC,ADIDA,3,2.1,25.3
13,00610101AC,CrostonClassic,3,2.1,25.1
14,00610101AC,IMAPA,3,2.1,25.3
15,00610101AC,WindowAverage,3,2.8,48.8
16,00610101D,AutoARIMA,6,4.7,41.6
17,00610101D,AutoETS,6,4.6,51.2
18,00610101D,DynamicOptimizedTheta,6,4.6,51.1
19,00610101D,AutoTheta,6,4.6,51.1
20,00610101D,ADIDA,6,4.6,49.7
21,00610101D,CrostonClassic,6,4.6,50.9
22,00610101D,IMAPA,6,4.6,49.7
23,00610101D,WindowAverage,6,5.0,59.4
24,00610101NM,AutoARIMA,7,6.2,40.6
25,00610101NM,AutoETS,5,4.1,27.9
26,00610101NM,DynamicOptimizedTheta,5,4.0,24.9
27,00610101NM,AutoTheta,5,4.0,25.0
28,00610101NM,ADIDA,5,4.0,24.9
29,00610101NM,CrostonClassic,5,4.0,25.0
30,00610101NM,IMAPA,5,4.0,24.9
31,00610101NM,WindowAverage,5,4.0,29.2
32,00610102,AutoARIMA,5,3.5,37.3
33,00610102,AutoETS,4,3.5,38.1
34,00610102,DynamicOptimizedTheta,4,3.5,37.4
35,00610102,AutoTheta,5,3.6,36.8
36,00610102,ADIDA,4,3.5,36.5
37,00610102,CrostonClassic,5,3.5,38.7
38,00610102,IMAPA,4,3.5,36.5
39,00610102,WindowAverage,4,3.5,35.2
40,00611001,AutoARIMA,5,3.6,59.9
41,00611001,AutoETS,3,2.8,32.8
42,00611001,DynamicOptimizedTheta,3,2.8,32.4
43,00611001,AutoTheta,3,2.7,28.6
44,00611001,ADIDA,3,2.8,32.7
45,00611001,CrostonClassic,3,2.8,32.0
46,00611001,IMAPA,3,2.8,32.7
47,00611001,WindowAverage,4,3.2,47.9
48,00612001,AutoARIMA,7,6.0,25.6
49,00612001,AutoETS,7,5.8,23.3
50,00612001,DynamicOptimizedTheta,7,5.8,24.1
51,00612001,AutoTheta,7,5.8,23.9
52,00612001,ADIDA,7,5.8,24.9
53,00612001,CrostonClassic,7,5.8,24.3
54,00612001,IMAPA,7,5.8,24.9
55,00612001,WindowAverage,8,6.6,35.3
56,00612001D,AutoARIMA,4,3.8,159.0
57,00612001D,AutoETS,4,3.2,125.0
58,00612001D,DynamicOptimizedTheta,4,3.2,123.6
59,00612001D,AutoTheta,4,3.1,121.2
60,00612001D,ADIDA,4,3.2,121.1
61,00612001D,CrostonClassic,4,3.2,125.6
62,00612001D,IMAPA,4,3.2,121.1
63,00612001D,WindowAverage,4,3.2,110.4
64,00612301,AutoARIMA,10,7.8,30.8
65,00612301,AutoETS,10,7.9,33.2
66,00612301,DynamicOptimizedTheta,9,7.6,27.4
67,00612301,AutoTheta,9,7.6,25.8
68,00612301,ADIDA,9,7.6,27.4
69,00612301,CrostonClassic,9,7.6,27.3
70,00612301,IMAPA,9,7.6,27.4
71,00612301,WindowAverage,10,7.5,23.3
72,00612301NM,AutoARIMA,3,2.7,58.6
73,00612301NM,AutoETS,3,2.6,57.2
